g1.gid,g2.gid,ged,hungarian,vj,beam5
25,25,0,0,142,0
25,438,120,172,176,120
25,252,77,135,131,77
25,24,99,139,149,99
25,267,75,143,131,75
25,315,107,165,157,107
25,350,90,134,154,90
25,15,53,133,137,53
25,348,100,150,152,100
25,67,87,147,147,87
25,415,91,145,147,91
25,442,114,166,162,114
25,167,96,156,160,96
25,395,97,181,175,97
25,365,84,148,144,84
25,317,76,130,148,76
25,302,93,147,145,93
25,149,96,150,156,96
25,377,85,135,149,85
25,253,76,130,138,76
25,537,102,146,158,102
25,81,91,143,149,91
25,266,84,144,140,84
25,279,116,196,198,116
25,558,100,162,168,100
25,105,75,149,143,75
25,300,113,177,169,113
25,176,87,165,177,87
25,406,90,144,136,90
25,109,98,150,152,98
25,230,93,147,151,93
25,554,96,140,140,96
25,401,118,162,178,118
25,43,107,161,177,107
25,388,86,142,136,86
25,489,71,133,133,71
25,184,100,150,162,100
25,347,88,158,148,88
25,301,90,154,158,90
25,536,113,143,161,113
25,589,78,134,146,78
25,564,79,143,141,79
25,107,95,143,159,95
25,289,74,156,148,74
25,509,108,154,154,108
25,292,117,187,191,117
25,513,76,152,158,76
25,526,115,191,207,115
25,428,96,134,130,96
25,295,237,299,297,237
25,545,79,155,147,79
25,116,77,147,137,77
25,291,119,203,195,119
25,490,73,143,149,73
25,448,97,141,151,97
25,84,80,150,146,80
25,1,72,148,146,72
25,245,75,151,153,75
25,594,125,189,195,125
25,519,92,142,152,92
25,112,97,177,169,97
25,101,94,168,162,94
25,316,97,165,161,97
25,381,80,128,144,80
25,538,94,150,146,94
25,313,109,181,171,109
25,31,82,138,128,82
25,215,99,179,177,99
25,531,101,147,151,101
25,44,95,163,175,95
25,452,81,133,131,81
25,524,64,126,148,64
25,123,186,252,252,186
25,304,79,147,143,79
25,520,89,149,159,89
25,241,75,135,145,75
25,270,79,143,149,79
25,180,83,123,131,83
25,74,95,147,155,95
25,42,91,169,175,91
25,309,97,159,169,97
25,26,66,148,148,66
25,570,72,138,140,72
25,297,237,311,301,237
25,572,81,143,151,81
25,546,67,161,149,67
25,22,48,142,148,48
25,86,81,131,151,81
25,41,97,169,169,97
25,174,93,175,161,93
25,308,79,147,143,79
25,118,195,241,251,195
25,578,128,186,196,128
25,287,83,155,163,83
25,514,82,140,152,82
25,223,72,140,144,72
25,305,112,168,166,112
25,598,118,180,172,118
25,284,85,157,147,85
25,182,106,150,150,106
25,168,81,157,155,81
25,544,69,147,149,69
25,143,95,139,119,95
