g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10,cut
11002,11002,0,0,136,0,0,0
11002,11000,20,140,146,88,82,20
11002,11001,20,127,153,83,103,20
11002,10509,15,116,132,88,96,15
11002,2,90,154,160,90,96,9999999
11002,10100,11,116,136,82,92,11
11002,21006,94,178,184,100,94,9999999
11002,20806,102,156,168,110,102,9999999
11002,20501,96,150,170,96,98,9999999
11002,20908,94,152,172,94,94,9999999
11002,10304,13,113,137,89,99,13
11002,10707,17,111,145,93,105,17
11002,20608,96,158,164,96,96,9999999
11002,10300,13,119,137,97,91,13
11002,20506,91,157,173,91,99,9999999
11002,10209,12,127,137,91,95,12
11002,10104,11,108,134,88,92,11
11002,20707,86,152,162,90,86,9999999
11002,10108,11,112,140,84,94,11
11002,20700,97,155,161,97,97,9999999
11002,20600,94,152,172,96,94,9999999
11002,21000,89,155,157,111,89,9999999
11002,20709,100,154,162,100,100,9999999
11002,20505,81,159,173,89,81,9999999
11002,20108,90,152,156,112,90,9999999
11002,10601,16,113,131,91,83,16
11002,10404,14,122,142,98,98,14
11002,20303,87,149,169,93,87,9999999
11002,20502,107,157,163,107,107,9999999
11002,20702,89,161,163,89,95,9999999
11002,20107,95,159,165,95,97,9999999
11002,20602,83,165,161,99,83,9999999
11002,20807,85,163,171,85,87,9999999
11002,20203,92,148,164,92,92,9999999
11002,20900,94,170,164,100,94,9999999
11002,1,10,116,136,76,94,10
11002,20607,76,164,172,100,76,9999999
11002,20500,84,154,160,84,98,9999999
11002,10607,16,142,152,86,92,16
11002,10809,18,121,119,97,99,18
11002,10508,15,118,144,108,92,15
11002,20100,93,149,167,93,99,9999999
11002,21005,107,163,165,107,107,9999999
11002,10803,18,128,150,86,96,18
11002,10101,11,120,138,92,90,11
11002,20903,117,151,173,117,117,9999999
11002,20804,91,157,163,91,107,9999999
11002,20302,93,151,161,99,93,9999999
11002,10200,12,122,130,82,74,12
11002,10706,17,109,143,101,93,17
11002,20809,101,157,169,101,103,9999999
11002,20706,89,161,163,107,89,9999999
11002,10701,17,130,142,104,104,17
11002,10306,13,125,131,81,97,13
11002,10102,11,111,131,87,87,11
11002,10205,12,115,139,63,65,12
11002,20508,101,157,167,101,103,9999999
11002,21001,96,154,166,96,96,9999999
11002,10808,18,132,140,84,84,18
11002,20909,95,171,181,95,101,9999999
11002,20603,100,152,158,100,100,9999999
11002,20301,92,150,164,92,98,9999999
11002,20907,108,150,164,108,108,9999999
11002,10602,16,110,130,98,88,16
11002,20300,91,153,155,91,105,9999999
11002,10608,16,132,146,84,84,16
11002,10609,16,127,143,95,91,16
11002,10401,14,105,137,95,91,14
11002,10500,15,90,134,62,86,15
11002,10208,12,91,143,101,87,12
11002,11007,20,131,141,93,87,20
11002,10303,13,128,144,88,88,13
11002,20805,90,150,172,90,112,9999999
11002,10606,16,100,124,86,94,16
11002,10501,15,131,133,83,91,15
11002,10903,19,137,145,87,93,19
11002,10405,14,109,143,91,109,14
11002,20906,99,157,163,99,107,9999999
11002,11003,20,130,158,98,98,20
11002,20403,94,154,162,100,94,9999999
11002,20509,89,155,163,89,95,9999999
11002,21007,97,169,177,109,97,9999999
11002,10805,18,123,141,71,63,18
11002,20503,112,148,162,114,112,9999999
11002,11005,20,112,140,102,86,20
11002,10907,19,138,150,90,90,19
11002,20308,97,149,167,97,103,9999999
11002,10800,18,116,122,22,42,18
11002,20409,84,158,168,92,84,9999999
11002,10502,15,121,147,93,89,15
11002,20407,94,162,154,96,94,9999999
11002,20106,85,157,167,91,85,9999999
11002,10406,14,131,139,83,87,14
11002,10705,17,112,134,70,68,17
11002,11008,20,125,151,85,89,20
11002,20609,90,160,168,90,90,9999999
11002,20207,90,148,160,92,90,9999999
11002,10503,15,126,142,100,90,15
11002,20401,84,158,168,88,84,9999999
11002,20901,95,171,175,105,95,9999999
11002,10308,13,114,134,82,78,13
11002,20103,96,152,158,98,96,9999999
11002,10506,15,127,143,101,97,15
11002,10806,18,110,146,94,92,18
11002,10403,14,127,137,91,89,14
11002,20402,92,152,162,92,100,9999999
11002,10703,17,94,142,68,94,17
11002,10908,19,142,150,80,82,19
11002,10204,12,124,138,86,88,12
11002,20504,90,156,162,102,90,9999999
11002,20803,97,157,171,97,97,9999999
11002,10704,17,116,124,100,98,17
11002,20801,91,171,157,91,99,9999999
11002,21008,94,152,174,102,94,9999999
11002,10307,13,119,133,87,93,13
11002,20605,99,159,169,99,101,9999999
11002,21003,92,170,172,92,92,9999999
11002,20102,90,152,156,112,90,9999999
11002,10109,11,105,137,89,85,11
11002,10301,13,111,131,87,87,13
11002,10804,18,149,145,81,101,18
11002,10402,14,112,148,94,96,14
11002,10106,11,122,140,96,98,11
11002,20802,94,154,166,96,94,9999999
11002,20209,93,153,159,99,93,9999999
11002,20708,86,164,166,100,86,9999999
11002,20408,99,155,157,101,99,9999999
11002,10505,15,102,134,82,88,15
11002,20800,100,148,166,100,102,9999999
11002,20904,89,159,159,97,89,9999999
11002,10507,15,107,135,99,95,15
11002,10105,11,116,142,86,92,11
11002,20902,102,162,164,108,102,9999999
11002,10302,13,98,134,100,90,13
11002,10107,11,133,133,83,81,11
11002,20105,91,155,163,91,97,9999999
11002,10504,15,123,137,87,103,15
11002,20306,92,160,170,92,92,9999999
11002,10900,19,103,141,105,85,19
11002,10709,17,129,131,67,59,17
11002,20205,92,162,154,96,92,9999999
11002,10901,19,113,131,87,81,19
11002,10902,19,126,132,82,84,19
11002,10702,17,119,145,85,91,17
11002,10904,19,133,135,73,85,19
11002,10807,18,146,152,104,86,18
11002,20101,93,155,167,93,93,9999999
11002,10408,14,129,127,101,87,14
11002,20104,96,150,160,110,96,9999999
