g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10
956,956,0,0,0,0,0
956,1109,43,43,43,53,53
956,272,145,157,155,145,145
956,1420,46,46,46,46,46
956,1249,208,292,290,208,208
956,162,123,123,123,151,151
956,920,724,842,824,724,724
956,991,516,648,668,516,516
956,1492,107,107,109,129,129
956,1313,472,680,668,472,472
956,717,93,93,93,105,99
956,1066,97,97,97,105,105
956,169,115,115,115,115,115
956,1178,59,59,59,61,61
956,666,1371,1583,1573,1371,1371
956,1131,43,43,43,53,53
956,243,104,104,104,108,108
956,1227,198,208,210,198,198
956,630,106,106,118,118,118
956,742,173,183,185,179,173
956,1321,92,92,92,116,116
956,378,163,173,171,163,163
956,298,141,157,161,141,141
956,1148,124,124,124,132,132
956,170,215,229,221,215,215
956,137,101,101,109,125,125
956,827,724,842,824,724,724
956,1439,177,185,177,205,205
956,1270,193,211,209,193,193
956,1149,117,117,123,117,117
956,1002,102,120,116,102,102
956,941,267,393,371,267,267
956,1039,79,79,85,87,87
956,415,156,156,162,178,160
956,1269,294,388,362,294,294
956,497,58,64,64,58,58
956,1017,43,43,43,53,53
956,189,68,68,68,96,96
956,609,124,134,138,124,124
956,159,76,108,102,76,76
956,603,311,311,311,339,339
956,281,43,43,43,53,53
956,862,117,123,117,149,137
956,893,106,106,106,112,112
956,1161,43,43,43,53,53
956,112,154,160,160,154,154
956,874,488,620,656,488,488
956,256,68,68,68,76,76
956,72,92,92,92,102,102
956,1400,109,111,109,119,119
956,408,76,108,102,76,76
956,333,134,140,138,134,134
956,196,98,106,98,116,116
956,982,146,172,172,146,146
956,433,74,74,74,102,94
956,25,119,123,129,119,119
956,1166,43,43,43,53,53
956,138,103,103,113,111,111
956,508,343,343,343,371,371
956,1230,110,112,110,132,132
956,48,90,90,90,92,92
956,43,68,68,68,96,96
956,75,169,171,171,169,169
956,858,119,137,133,119,119
956,1319,22,22,22,22,22
956,240,45,45,45,45,45
956,282,43,43,43,53,53
956,626,106,108,106,112,108
956,1387,117,117,123,117,117
956,315,43,43,43,53,53
956,639,115,115,121,123,123
956,1426,125,137,131,133,125
956,1283,68,68,68,68,68
956,226,68,68,68,96,96
956,368,91,91,91,103,91
956,460,86,88,86,90,90
956,633,0,0,0,0,0
956,728,116,118,124,116,116
956,455,108,108,108,114,126
956,332,164,168,164,194,184
956,900,280,280,280,308,308
956,1048,200,282,268,200,200
956,1074,100,114,120,100,100
956,436,103,103,107,103,103
956,994,343,343,343,371,371
956,716,371,381,385,371,371
956,806,280,280,280,308,308
956,1499,43,43,43,53,53
956,317,77,77,85,85,85
956,1346,269,313,309,269,269
956,397,556,556,556,584,584
956,192,164,168,168,164,164
956,887,776,882,880,776,776
956,336,79,79,79,79,79
956,971,343,343,343,371,371
956,158,117,121,123,117,117
956,264,556,556,556,584,584
956,27,556,556,556,584,584
956,76,68,68,68,68,68
956,1225,112,112,112,112,112
956,681,149,263,263,149,149
956,576,280,280,280,308,308
956,635,343,343,343,371,371
956,1183,171,175,173,171,171
956,91,84,96,96,84,84
956,1497,99,99,103,99,99
956,916,161,161,167,161,165
956,278,176,182,182,176,176
956,117,140,146,146,140,140
956,793,119,133,133,119,119
956,709,343,343,343,371,371
956,1290,132,148,142,132,152
956,432,131,137,139,131,137
956,111,120,120,126,148,148
956,55,125,125,131,125,125
956,685,451,485,485,451,451
956,21,80,80,80,96,96
956,53,119,139,141,119,119
956,60,122,132,128,122,122
956,340,556,556,556,584,584
956,1258,269,313,309,269,269
956,257,43,43,43,53,53
956,119,52,52,52,64,64
956,693,26,26,26,36,36
956,1281,32,32,32,60,60
956,723,102,102,102,106,106
956,946,724,842,836,724,724
956,469,128,176,174,128,128
956,367,124,126,134,124,124
956,292,68,68,68,96,96
956,753,128,128,130,140,140
956,1061,168,198,196,168,168
956,924,343,343,343,371,371
956,173,69,69,69,69,69
956,613,121,123,121,125,129
956,1427,133,139,133,133,133
956,1464,68,68,68,68,68
956,1340,101,105,101,113,113
956,661,100,116,112,100,100
956,748,80,80,82,82,82
956,198,103,103,103,115,115
956,537,149,263,263,149,149
956,290,110,110,116,118,118
956,69,133,133,135,135,135
956,654,857,1021,1021,857,857
956,951,100,100,100,116,106
