g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10,cut
20403,20403,0,0,176,0,0,0
20403,20408,8,150,180,18,18,8
20403,10609,156,186,190,160,156,9999999
20403,10907,153,189,197,155,153,9999999
20403,20405,8,146,180,50,50,8
20403,20607,10,128,178,10,10,10
20403,10509,157,191,191,161,157,9999999
20403,20203,6,154,176,6,6,6
20403,21007,14,104,172,16,16,14
20403,20705,11,151,171,67,141,11
20403,10700,139,195,193,139,167,9999999
20403,10906,155,183,195,159,155,9999999
20403,10305,159,189,191,159,161,9999999
20403,20700,11,135,181,11,11,11
20403,20801,12,138,168,58,58,12
20403,10802,156,194,196,166,156,9999999
20403,10304,157,185,193,161,157,9999999
20403,10302,141,179,193,147,141,9999999
20403,20604,10,134,178,138,138,10
20403,20605,8,124,168,8,8,10
20403,20601,10,148,190,134,134,10
20403,10201,152,188,190,156,152,9999999
20403,20105,5,155,175,5,5,5
20403,10606,158,190,188,160,158,9999999
20403,10707,115,195,187,115,157,9999999
20403,21005,14,144,188,66,66,14
20403,10901,137,189,197,137,165,9999999
20403,20308,7,141,165,69,55,7
20403,21006,14,158,190,100,88,14
20403,21000,14,158,176,128,128,14
20403,10407,154,180,184,158,154,9999999
20403,20303,7,155,179,53,135,7
20403,20806,12,142,170,28,20,12
20403,20507,9,157,179,77,77,9
20403,20204,6,146,176,6,6,6
20403,10602,132,186,192,132,144,9999999
20403,10207,154,182,186,154,154,9999999
20403,10102,151,189,193,157,151,9999999
20403,10301,153,183,189,157,153,9999999
20403,20104,5,155,173,7,7,5
20403,10403,138,172,188,144,138,9999999
20403,20108,5,151,175,7,7,5
20403,10501,157,191,191,157,157,9999999
20403,10503,159,185,195,163,159,9999999
20403,20109,5,151,177,5,5,5
20403,11000,160,192,190,160,162,9999999
20403,10807,126,198,190,128,126,9999999
20403,20501,9,129,157,85,59,9
20403,20709,11,123,177,63,61,11
20403,11006,154,198,198,162,154,9999999
20403,11003,144,194,196,144,148,9999999
20403,10104,153,191,189,153,153,9999999
20403,20101,5,155,173,5,5,5
20403,10601,156,188,190,156,158,9999999
20403,10800,156,188,200,156,156,9999999
20403,20906,13,151,165,85,61,13
20403,20704,11,151,177,71,43,11
20403,20900,13,135,157,75,55,13
20403,20703,11,139,163,91,121,11
20403,10308,145,185,197,151,145,9999999
20403,20205,6,154,176,6,6,6
20403,20509,9,137,181,115,115,9
20403,10107,147,193,189,147,147,9999999
20403,20306,7,139,165,11,11,7
20403,10607,152,178,180,152,154,9999999
20403,10402,150,186,190,154,150,9999999
20403,20302,7,145,177,9,9,7
20403,20401,8,152,182,72,60,8
20403,20508,9,175,173,23,23,9
20403,10406,132,190,188,132,154,9999999
20403,20800,12,170,170,56,108,12
20403,20400,8,174,164,78,150,8
20403,10404,154,180,182,158,154,9999999
20403,10101,139,183,191,139,139,9999999
20403,20805,12,164,170,116,136,12
20403,10804,140,194,192,140,166,9999999
20403,11008,160,188,190,168,160,9999999
20403,10204,152,192,182,158,152,9999999
20403,20707,11,141,169,23,23,11
20403,20701,11,175,169,57,117,11
20403,20903,13,161,169,71,45,13
20403,10507,153,197,193,153,157,9999999
20403,21004,14,176,186,80,84,14
20403,20904,13,133,157,19,19,13
20403,10900,151,189,187,151,157,9999999
20403,20606,10,150,162,128,44,10
20403,10502,155,187,185,159,155,9999999
20403,20908,13,105,163,81,63,13
20403,10905,157,193,193,157,161,9999999
20403,10408,142,188,196,142,164,9999999
20403,20406,8,134,168,24,24,8
20403,10608,156,190,194,166,156,9999999
20403,10106,155,187,191,155,155,9999999
20403,10200,152,182,186,152,170,9999999
20403,10400,136,190,196,136,170,9999999
20403,20809,12,160,172,12,12,12
20403,20901,13,139,181,83,83,13
20403,10805,124,190,200,124,144,9999999
20403,21002,14,168,166,72,72,14
20403,20702,11,155,173,73,117,11
20403,10300,147,187,187,159,147,9999999
20403,10205,154,190,186,154,156,9999999
20403,10702,153,181,185,153,155,9999999
20403,20905,13,165,173,173,85,13
20403,11007,146,190,192,146,164,9999999
20403,20505,9,127,163,121,125,9
20403,20503,9,167,177,57,37,9
20403,20506,9,149,171,23,23,9
20403,20200,6,150,182,28,14,6
20403,10508,159,187,191,159,159,9999999
20403,21003,14,156,174,64,36,14
20403,20309,7,149,179,21,15,7
20403,20402,8,128,178,112,112,8
20403,20907,13,143,173,19,19,13
20403,20300,7,155,175,35,25,7
20403,20209,6,162,166,16,14,6
20403,10202,150,190,186,170,150,9999999
20403,10103,161,193,189,165,161,9999999
20403,20807,12,132,166,82,114,12
20403,20305,7,167,177,7,7,7
20403,20708,11,171,173,39,37,11
20403,10208,154,186,192,158,154,9999999
20403,20304,7,149,179,63,119,7
20403,10100,153,187,185,157,153,9999999
20403,10709,151,185,193,151,151,9999999
20403,10704,155,185,185,155,155,9999999
20403,2,4,150,174,4,4,4
20403,20409,8,116,180,48,48,8
20403,10806,148,192,192,152,148,9999999
20403,10701,155,193,193,155,159,9999999
20403,10803,158,174,180,162,158,9999999
20403,20808,12,154,168,58,118,12
20403,10703,139,189,199,139,155,9999999
20403,20803,12,140,166,26,16,12
20403,21001,14,126,166,80,74,14
20403,11004,156,190,188,174,156,9999999
20403,20103,5,155,175,5,5,5
20403,10909,145,181,187,145,169,9999999
20403,10306,155,175,189,157,155,9999999
20403,10603,158,192,188,158,168,9999999
20403,10604,154,178,188,156,154,9999999
20403,10303,153,183,191,153,161,9999999
20403,20902,13,149,177,123,127,13
20403,20100,5,157,177,5,5,5
20403,20404,8,148,166,116,58,8
20403,10801,150,182,194,162,150,9999999
20403,1,152,186,190,156,152,9999999
20403,10405,152,188,188,156,152,9999999
20403,20802,12,168,184,140,134,12
20403,10506,153,181,191,157,153,9999999
20403,10206,152,186,192,156,152,9999999
20403,10808,152,184,192,152,158,9999999
20403,20107,5,179,173,5,5,5
20403,20106,5,145,173,5,5,5
20403,20207,4,154,174,4,4,6
20403,20301,5,159,171,7,5,7
20403,20609,10,152,174,10,10,10
20403,10307,155,185,195,155,157,9999999
20403,10903,155,187,197,155,163,9999999
20403,11001,148,194,194,148,152,9999999
20403,10600,134,192,194,146,134,9999999
20403,20307,7,167,171,63,135,7
20403,20603,10,164,188,146,148,10
20403,10902,125,187,195,125,125,9999999
20403,20208,6,154,174,72,40,6
20403,20504,9,153,183,65,133,9
20403,10108,155,189,183,155,155,9999999
20403,20201,6,172,174,6,6,6
20403,10505,153,185,185,155,153,9999999
20403,21008,14,168,172,104,88,14
20403,20909,13,151,175,83,143,13
20403,20706,11,173,163,53,53,11
20403,10309,141,195,187,155,141,9999999
20403,20602,10,110,168,10,10,10
20403,10705,157,185,193,161,157,9999999
20403,20500,9,171,163,27,19,9
20403,11002,154,184,196,154,154,9999999
20403,20102,5,169,173,27,21,5
20403,20407,8,132,180,112,112,8
20403,20600,10,146,170,12,12,10
20403,20206,6,142,178,6,6,6
20403,20608,10,158,178,76,70,10
20403,20502,9,131,177,9,9,9
20403,10209,150,186,192,154,150,9999999
20403,10904,151,195,185,157,151,9999999
20403,10203,146,184,186,146,166,9999999
20403,11005,156,198,196,156,162,9999999
20403,10908,153,185,187,161,153,9999999
20403,20202,6,152,174,10,8,6
20403,10105,155,191,189,159,155,9999999
20403,10409,154,190,188,154,156,9999999
20403,10401,140,180,184,140,162,9999999
20403,10708,155,191,191,155,157,9999999
20403,10605,140,176,188,144,140,9999999
20403,20804,12,152,174,26,16,12
20403,10706,151,193,189,151,153,9999999
20403,10504,155,187,195,159,155,9999999
20403,10109,149,191,193,157,149,9999999
20403,10809,156,196,200,156,166,9999999
20403,10500,153,191,193,157,153,9999999
20408,20403,6,142,180,6,6,8
20408,20408,0,0,178,0,0,0
20408,10609,156,192,184,160,156,9999999
20408,10907,155,183,189,155,159,9999999
20408,20405,8,158,180,50,50,8
20408,20607,10,124,180,10,10,10
20408,10509,157,189,183,159,157,9999999
20408,20203,6,122,176,6,6,6
20408,21007,14,156,176,30,24,14
20408,20705,11,133,181,67,141,11
20408,10700,139,197,193,139,171,9999999
20408,10906,153,181,189,155,153,9999999
20408,10305,159,195,187,159,161,9999999
20408,20700,11,161,159,11,11,11
20408,20801,12,136,182,56,56,12
20408,10802,156,194,192,166,156,9999999
20408,10304,153,189,185,157,153,9999999
20408,10302,145,187,189,151,145,9999999
20408,20604,10,154,166,152,136,10
20408,20605,10,140,174,10,10,10
20408,20601,10,160,186,140,140,10
20408,10201,152,186,180,156,152,9999999
20408,20105,5,77,173,5,5,5
20408,10606,162,190,192,162,162,9999999
20408,10707,119,197,193,119,163,9999999
20408,21005,14,148,184,66,62,14
20408,10901,137,195,195,137,167,9999999
20408,20308,7,95,187,69,61,7
20408,21006,14,154,194,100,88,14
20408,21000,14,160,180,122,122,14
20408,10407,154,184,190,156,154,9999999
20408,20303,7,109,179,53,139,7
20408,20806,12,142,168,28,18,12
20408,20507,9,141,181,79,79,9
20408,20204,6,68,170,6,6,6
20408,10602,132,192,198,132,170,9999999
20408,10207,154,184,192,154,154,9999999
20408,10102,151,187,187,157,151,9999999
20408,10301,153,187,193,159,153,9999999
20408,20104,5,79,173,7,7,5
20408,10403,146,192,184,148,146,9999999
20408,20108,5,83,165,9,9,5
20408,10501,157,191,187,157,157,9999999
20408,10503,157,189,191,159,157,9999999
20408,20109,5,115,171,5,5,5
20408,11000,164,188,188,164,164,9999999
20408,10807,128,188,192,136,128,9999999
20408,20501,9,143,173,83,51,9
20408,20709,11,147,173,65,61,11
20408,11006,158,198,192,166,158,9999999
20408,11003,152,186,184,152,156,9999999
20408,10104,153,189,185,153,153,9999999
20408,20101,5,103,175,5,5,5
20408,10601,154,190,190,154,154,9999999
20408,10800,156,190,194,158,156,9999999
20408,20906,13,143,175,119,61,13
20408,20704,11,113,171,67,43,11
