g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10
9,1013,104,104,104,182,182
9,899,89,89,89,149,149
9,1361,62,72,72,62,62
9,643,50,66,68,62,50
9,942,62,62,64,88,88
9,78,50,72,76,58,50
9,327,61,67,69,61,61
9,54,65,81,75,65,65
9,1413,50,78,74,50,50
9,563,110,110,110,200,200
9,1202,104,104,104,182,182
9,62,62,62,68,62,62
9,686,61,63,73,61,61
9,904,49,67,67,49,49
9,1042,72,84,72,106,106
9,1345,125,125,125,219,219
9,855,89,89,89,149,149
9,1180,53,63,59,53,53
9,1207,58,68,68,58,58
9,535,39,67,73,39,39
9,943,110,110,110,200,200
9,286,60,60,64,70,70
9,149,59,65,59,77,77
9,939,50,50,60,64,64
9,1108,48,80,76,56,48
9,710,104,104,104,182,182
9,673,53,67,65,53,61
9,258,54,68,70,54,54
9,860,110,110,110,200,200
9,109,60,76,84,60,60
9,358,59,59,59,67,67
9,339,49,65,67,49,49
9,45,33,61,67,39,33
9,721,53,69,61,53,63
9,1056,62,62,78,66,66
9,1388,66,80,78,66,66
9,683,51,59,67,55,51
9,1145,72,82,78,72,72
9,1344,65,77,79,65,65
9,1181,125,125,125,219,219
9,391,62,62,62,78,78
9,1083,67,67,71,85,85
9,953,53,53,61,61,71
9,1068,104,104,104,182,182
9,882,110,110,110,200,200
9,15,56,62,66,56,56
9,1015,71,71,77,87,85
9,322,59,73,73,79,59
9,441,52,76,72,52,52
9,128,34,64,68,38,34
9,680,89,89,89,149,149
9,364,104,104,104,182,182
9,375,43,71,73,55,43
9,1043,125,125,125,219,219
9,1190,110,110,110,200,200
9,588,42,62,64,42,42
9,894,58,58,62,76,76
9,164,58,70,72,58,58
9,1059,60,84,84,60,60
9,554,62,70,62,70,64
9,730,55,73,67,55,55
9,344,104,104,104,182,182
9,568,68,70,68,72,72
9,1144,62,76,82,86,62
9,35,58,68,68,58,58
9,1357,69,83,95,77,69
9,145,41,67,73,55,41
9,1141,85,89,85,131,131
9,1430,63,63,63,101,77
9,932,37,65,67,37,43
9,179,55,59,59,55,55
9,617,60,84,78,60,60
9,98,89,89,89,149,149
9,1349,105,107,105,133,133
9,1138,59,63,63,59,67
9,28,89,89,89,149,149
9,889,89,89,89,149,149
9,1294,104,104,104,182,182
9,172,69,73,75,69,69
9,829,110,110,110,200,200
9,40,37,69,61,41,37
9,178,43,67,59,43,43
9,81,72,92,92,72,72
9,225,55,81,79,55,55
9,837,54,70,72,58,54
9,153,75,79,77,75,75
9,279,90,90,94,110,110
9,11,51,51,67,55,55
9,517,49,67,67,49,63
9,302,79,81,79,79,79
9,1165,53,59,67,53,57
9,1248,110,110,110,200,200
9,1146,125,125,125,219,219
9,722,53,63,63,53,53
9,880,110,110,110,200,200
9,682,27,67,65,27,27
9,260,58,66,58,58,58
9,1389,61,61,61,83,83
9,61,63,75,67,63,63
9,587,39,61,71,39,39
9,51,83,83,85,89,99
9,961,61,71,67,61,61
9,294,27,63,63,27,27
9,1113,104,104,104,182,182
9,348,56,56,66,60,60
9,842,66,74,78,66,66
9,371,50,62,66,58,50
9,1363,47,69,69,47,47
9,1123,125,125,125,219,219
9,579,57,67,69,57,57
9,37,59,59,61,113,113
9,1327,59,67,61,59,59
9,745,104,104,104,182,182
9,181,60,68,64,60,60
9,227,69,73,75,69,69
9,429,93,93,95,153,153
9,464,43,63,65,43,43
9,1139,59,59,61,115,115
9,165,52,66,64,58,52
9,1331,50,54,64,50,50
9,1370,110,110,110,200,200
9,815,89,89,89,149,149
9,1086,75,75,77,75,75
9,1237,63,63,63,101,77
9,571,57,61,67,57,57
9,1079,76,76,82,84,84
9,506,49,67,67,49,49
9,651,52,70,66,52,52
9,97,56,68,72,56,56
9,662,62,62,62,76,76
9,744,110,110,110,200,200
9,1208,77,89,97,77,77
9,774,62,68,68,62,62
9,699,104,104,104,182,182
9,1288,64,74,72,66,64
9,144,65,73,77,65,65
9,477,50,58,62,60,50
9,1272,104,104,104,182,182
9,382,51,51,67,51,51
9,762,48,68,70,48,50
9,1473,52,68,72,52,54
9,629,43,69,57,51,43
9,1278,45,65,59,45,45
9,187,65,77,77,65,65
9,703,46,68,72,46,50
9,485,40,68,56,42,40
9,1193,104,104,104,182,182
9,707,104,104,104,182,182
9,236,54,58,54,64,66
9,416,51,59,67,51,51
9,287,66,74,74,66,66
9,1465,63,83,79,63,63
9,370,26,64,56,56,26
9,963,110,110,110,200,200
9,738,56,66,62,56,56
9,80,43,73,75,59,43
9,266,62,62,62,76,76
9,67,51,73,73,51,51
9,115,62,72,68,66,62
9,1111,104,104,104,182,182
9,131,90,90,94,110,110
9,746,49,67,67,49,49
9,228,44,64,60,44,44
9,550,72,88,84,132,72
9,561,89,89,89,149,149
9,1484,85,89,85,131,131
9,660,45,69,71,45,45
9,1218,63,63,63,77,77
9,1276,110,110,110,200,200
9,1309,58,58,64,58,58
9,163,79,79,81,83,83
9,1350,110,110,110,200,200
9,937,104,104,104,182,182
9,402,46,58,46,52,54
9,956,96,96,96,194,194
9,1109,139,139,139,239,239
9,272,71,149,133,71,89
9,1420,170,172,170,208,234
9,1249,300,310,300,366,366
9,162,75,111,115,75,79
9,920,846,872,878,846,846
9,991,618,674,684,618,618
9,1492,47,87,65,53,47
9,1313,586,670,654,586,586
9,717,57,91,97,57,57
9,1066,25,57,25,51,43
9,169,159,175,177,159,159
9,1178,193,193,193,201,201
9,666,1467,1557,1563,1467,1467
9,1131,139,139,139,239,239
9,243,42,66,64,42,76
9,1227,118,180,182,118,118
9,630,34,56,62,46,34
9,742,75,127,121,105,75
9,1321,62,94,92,62,70
9,378,179,265,271,179,179
9,298,195,253,247,195,195
9,1148,38,96,108,48,38
9,170,121,189,191,121,121
9,137,61,81,87,61,61
9,827,846,872,878,846,846
9,1439,173,255,239,173,173
9,1270,125,203,199,141,125
9,1149,71,143,131,93,71
9,1002,46,68,52,46,50
9,941,369,449,457,369,379
9,1039,55,55,59,73,73
9,415,76,112,108,86,76
9,1269,402,470,460,402,402
9,497,50,50,50,102,88
9,1017,139,139,139,239,239
9,189,164,164,164,282,282
9,609,26,64,70,26,30
9,159,154,162,164,158,154
9,603,407,407,407,525,525
9,281,139,139,139,239,239
9,862,49,71,73,49,49
9,893,52,64,68,52,52
9,1161,139,139,139,239,239
9,112,66,102,106,66,66
9,874,648,648,658,668,668
9,256,106,108,106,112,112
9,72,58,96,98,58,58
9,1400,85,113,111,85,85
9,408,154,162,164,158,154
9,333,28,70,80,28,28
9,196,60,88,86,60,60
9,982,116,178,172,116,116
9,433,62,102,110,62,62
9,25,19,55,49,19,19
9,1166,139,139,139,239,239
9,138,37,65,59,37,37
9,508,439,439,439,557,557
9,1230,60,122,118,60,60
9,48,70,104,90,70,80
9,43,164,164,164,282,282
9,75,169,219,215,169,169
9,858,37,77,81,37,37
9,1319,152,152,162,180,174
9,240,109,109,121,159,159
9,282,139,139,139,239,239
9,626,18,66,52,46,18
9,1387,71,143,131,93,71
9,315,139,139,139,239,239
9,639,29,69,71,29,29
9,1426,69,103,105,101,69
9,1283,98,104,102,112,98
9,226,164,164,164,282,282
9,368,129,155,145,129,129
9,460,92,152,142,102,92
9,633,96,96,96,170,170
9,728,18,66,58,18,18
9,455,26,66,60,26,26
9,332,92,102,106,94,92
9,900,376,376,376,494,494
9,1048,288,288,296,294,294
9,1074,94,112,100,94,94
9,436,21,61,63,21,21
9,994,439,439,439,557,557
9,716,489,503,509,491,489
9,806,376,376,376,494,494
9,1499,139,139,139,239,239
9,317,101,161,161,101,101
9,1346,363,363,367,363,363
9,397,652,652,652,770,770
9,192,60,106,102,60,60
9,887,888,948,952,900,888
9,336,201,219,207,201,201
9,971,439,439,439,557,557
9,158,23,69,67,51,23
9,264,652,652,652,770,770
9,27,652,652,652,770,770
9,76,96,96,112,98,98
9,1225,26,58,64,26,32
9,681,271,291,275,271,271
9,576,376,376,376,494,494
9,635,439,439,439,557,557
9,1183,233,305,303,233,233
9,91,56,56,68,70,70
9,1497,51,73,57,51,81
9,916,59,105,113,59,81
9,278,92,150,156,92,92
9,117,46,78,82,46,46
9,793,21,63,55,21,21
9,709,439,439,439,557,557
9,1290,76,144,144,76,76
9,432,37,81,79,71,37
9,111,58,92,92,58,58
9,55,51,85,83,51,53
9,685,573,601,603,573,573
9,21,90,90,90,114,114
9,53,119,175,183,125,119
9,60,124,164,168,136,124
9,340,652,652,652,770,770
9,1258,363,363,367,363,363
9,257,139,139,139,239,239
9,119,170,176,170,254,258
9,693,150,150,152,212,188
9,1281,132,150,132,170,170
9,723,30,60,64,32,30
9,946,846,872,884,846,846
9,469,146,172,172,146,146
9,367,30,70,64,30,30
9,292,164,164,164,282,282
9,753,42,78,74,42,42
9,1061,190,270,258,190,190
9,924,439,439,439,557,557
9,173,203,207,213,203,203
9,613,33,87,83,41,33
9,1427,39,113,117,39,39
9,1464,98,106,110,98,98
9,1340,71,71,73,71,71
9,661,4,54,60,4,4
9,748,102,124,132,102,132
9,198,47,77,67,47,47
9,537,271,291,275,271,271
9,290,22,46,60,38,22
9,69,37,79,93,37,37
9,654,979,1021,1025,979,979
9,951,36,48,50,36,36
9,1375,103,173,159,103,103
9,453,112,112,114,158,158
9,610,21,61,61,21,21
9,1080,71,81,91,71,71
9,13,54,54,64,60,60
9,775,376,376,376,494,494
9,26,652,652,652,770,770
9,356,135,189,193,135,137
9,414,40,54,46,42,40
9,330,80,134,136,80,80
9,65,58,102,96,58,66
9,905,519,547,567,519,519
9,241,269,349,343,279,269
9,958,40,66,70,40,44
9,470,727,727,729,749,735
9,1209,295,329,333,295,295
9,592,70,124,134,70,70
9,68,145,145,169,147,147
9,1472,68,138,134,74,68
9,886,18,64,54,18,18
9,239,165,207,213,165,165
9,1358,139,139,139,239,239
9,1096,44,90,82,44,78
9,1383,139,139,139,239,239
9,527,439,439,439,557,557
9,94,652,652,652,770,770
9,271,80,108,112,82,80
9,493,15,67,67,15,15
9,268,181,239,229,181,181
9,186,80,114,104,80,80
9,735,846,872,878,846,846
9,341,139,139,139,239,239
9,442,703,709,703,769,739
9,36,46,46,60,58,58
9,1037,329,373,385,329,329
9,743,376,376,376,494,494
9,1022,190,206,190,254,254
9,232,129,139,129,137,137
9,664,67,77,77,67,67
9,342,139,139,139,239,239
9,1372,363,379,373,363,363
9,509,439,439,439,557,557
9,274,27,61,71,27,27
9,468,79,91,97,79,79
9,671,20,52,62,30,20
9,1224,734,830,832,734,734
9,1038,512,606,606,512,512
9,577,439,439,439,557,557
9,599,385,385,385,499,499
9,84,62,102,110,62,62
9,9,0,0,32,0,0
9,269,54,82,78,54,54
9,328,21,67,65,43,21
9,1001,261,295,305,261,261
9,990,67,111,119,67,67
9,679,407,407,407,525,525
9,1456,54,118,118,54,54
9,38,60,106,116,60,60
9,193,106,128,128,114,106
9,199,89,155,155,97,89
9,1246,139,139,139,239,239
11,956,127,127,127,163,163
11,1013,83,83,83,151,151
11,1109,140,140,140,208,208
11,272,88,144,136,88,100
11,1420,179,179,181,201,201
11,1249,327,337,327,335,335
11,899,68,68,68,118,118
11,1361,31,39,41,31,31
11,162,76,118,122,76,76
11,643,9,23,23,9,9
11,920,857,877,883,857,857
11,991,631,681,687,631,631
11,942,37,41,43,37,37
11,78,37,37,39,37,37
11,327,20,20,20,24,24
11,1492,56,92,94,56,64
11,1313,587,663,669,587,587
11,54,28,60,60,28,28
11,1413,13,57,41,13,13
11,717,68,82,92,68,68
11,1066,30,72,74,30,30
11,563,101,101,101,169,169
11,169,170,176,196,170,170
11,1202,83,83,83,151,151
11,62,13,13,13,13,13
11,1178,196,212,204,196,196
11,666,1486,1554,1558,1486,1486
11,686,18,18,24,18,18
11,904,14,30,24,14,14
11,1042,67,67,73,75,75
11,1345,120,120,120,188,188
11,1131,140,140,140,208,208
11,855,68,68,68,118,118
11,243,39,75,69,39,39
11,1227,137,181,177,137,137
11,630,9,9,9,17,9
11,1180,18,54,50,18,18
11,742,110,126,122,114,110
11,1321,59,99,105,59,59
11,1207,11,19,21,11,11
11,378,198,274,284,198,198
11,298,208,248,264,208,208
11,1148,57,103,103,57,57
11,170,140,184,178,140,140
11,137,60,72,74,68,60
11,827,857,877,883,857,857
11,1439,184,246,232,190,184
